Brockley Passage, 51.460889, -0.052773, 60
One Tree Hill, 51.450426, -0.052220, 89
Cox's Walk / Sydenham Hill, 51.436635, -0.064635, 108
Cox's Walk / Railway Bridge, 51.438350, -0.067077, 86
Crescent Wood / Sydenham Woods, 51.433728, -0.068884, 109
Low Cross Wood Lane, 51.432677, -0.072958, 113
Westwood Park, 51.443029, -0.059534, 96
Canonbie Road, 51.446301, -0.056319, 102
Dawson Hill, 51.447799, -0.066858, 77
Green Dale, 51.462717, -0.088917, 40
Rock Hill, 51.429230, -0.075062, 112
Camberwell Grove, 51.465669, -0.082772, 44
Brockwell Park, 51.447194, -0.110699, 46
Gipsy Hill, 51.419765, -0.083080, 112
Salter's Hill, 51.422829, -0.094624, 81
Hilly Fields, 51.460066, -0.024474, 53
Blythe Hill Fields, 51.446900, -0.035390, 52
